"","level","Bronx","Chicago","Miami","San Diego","Missing"
"n","","1030(NA","1950(NA","1065(NA","1724(NA","   "
"AGE (%)","<40"," 198 (33.4) "," 377 (37.6) "," 137 (21.6) "," 288 (32.9) ","0.0"
"","41-60"," 442 (40.6) "," 916 (42.7) "," 508 (45.5) "," 808 (43.6) ","   "
"","61<"," 390 (26.0) "," 657 (19.7) "," 420 (32.9) "," 628 (23.5) ","   "
"SEX (%)","Female"," 679 (54.5) ","1163 (48.1) "," 713 (52.9) ","1146 (52.1) ","0.0"
"","Male"," 351 (45.5) "," 787 (51.9) "," 352 (47.1) "," 578 (47.9) ","   "
"Education (%)","<12"," 352 (35.9) "," 871 (41.4) "," 199 (20.3) "," 506 (25.6) ","0.4"
"","12"," 245 (24.2) "," 468 (28.3) "," 254 (25.7) "," 386 (24.4) ","   "
"",">12"," 429 (39.9) "," 603 (30.3) "," 610 (54.0) "," 825 (50.0) ","   "
"Income_level (%)","Less than $10,000"," 188 (16.5) "," 150 ( 6.8) "," 135 (11.4) "," 140 ( 6.9) ","2.5"
"","$10,001-$20,000"," 316 (33.4) "," 497 (24.1) "," 334 (30.0) "," 385 (19.6) ","   "
"","$20,001-$40,000"," 261 (28.3) "," 757 (38.6) "," 360 (36.1) "," 621 (34.5) ","   "
"","$40,001-$75,000"," 146 (15.0) "," 369 (22.3) "," 150 (15.6) "," 374 (23.4) ","   "
"","More than $75,000","  81 ( 6.9) "," 130 ( 8.2) ","  56 ( 6.9) "," 174 (15.7) ","   "
"Current_Health_insurance (%)","No"," 121 (17.4) "," 738 (43.9) "," 395 (38.5) "," 432 (32.4) ","0.3"
"","Yes"," 899 (82.6) ","1212 (56.1) "," 669 (61.5) ","1288 (67.6) ","   "
"Physician_Visit (%)","No"," 133 (20.0) "," 531 (33.4) "," 441 (44.6) "," 416 (31.2) ","1.3"
"","One or two times"," 309 (32.4) "," 635 (31.4) "," 276 (22.8) "," 600 (33.7) ","   "
"","At least three times"," 544 (47.6) "," 778 (35.3) "," 332 (32.7) "," 698 (35.1) ","   "
"Background (%)","Domician"," 380 (31.9) ","  15 ( 0.5) ","  17 ( 1.3) ","   1 ( 0.1) ","0.3"
"","Central American","  56 ( 4.2) "," 226 ( 7.2) "," 271 (15.2) ","  22 ( 0.8) ","   "
"","Cuban","   8 ( 1.2) ","  17 ( 1.5) "," 565 (67.8) ","   3 ( 0.4) ","   "
"","Mexican","  46 (10.3) ","1093 (62.3) ","   8 ( 0.9) ","1606 (92.7) ","   "
"","Puerto Rican"," 442 (43.7) "," 342 (18.5) ","  19 ( 2.3) ","  17 ( 1.5) ","   "
"","South American","  44 ( 3.9) "," 201 ( 6.9) "," 157 ( 9.5) ","  22 ( 0.8) ","   "
"","More than one/Other heritage","  48 ( 4.8) ","  53 ( 3.1) ","  26 ( 2.9) ","  45 ( 3.6) ","   "
"Language_pref (%)","Spanish"," 679 (58.8) ","1676 (79.8) ","1030 (94.3) ","1346 (68.8) ","0.0"
"","English"," 351 (41.2) "," 274 (20.2) ","  35 ( 5.7) "," 378 (31.2) ","   "
"Marital_status (%)","Single"," 363 (42.4) "," 336 (25.1) "," 234 (26.6) "," 301 (23.8) ","0.1"
"","Married or living with a partner"," 421 (40.6) ","1265 (61.7) "," 532 (49.7) ","1070 (62.0) ","   "
"","Separated,divorced,or widow(er)"," 244 (17.1) "," 349 (13.2) "," 298 (23.7) "," 349 (14.2) ","   "
"Employment_status (%)","Retired/not currently employed"," 507 (46.8) "," 714 (30.3) "," 427 (40.6) "," 714 (36.0) ","0.3"
"","Employed part-time(<=35 hours/week)"," 210 (18.9) "," 443 (22.8) "," 251 (20.8) "," 414 (22.8) ","   "
"","Employed full-time(>35 hours/week)"," 298 (34.3) "," 793 (46.9) "," 387 (38.6) "," 593 (41.3) ","   "
"US_BORN (%)","No"," 786 (70.1) ","1684 (77.7) ","1017 (92.2) ","1348 (69.5) ","0.3"
"","Yes"," 239 (29.9) "," 263 (22.3) ","  46 ( 7.8) "," 370 (30.5) ","   "
