"","var","stratum","prop_aware","SE","CI_low","CI_high"
"1","Education","<12",0.45,0.0179907581318894,0.414738114061497,0.485261885938503
"2","Education","12",0.51,0.0214781088078519,0.46790290673661,0.55209709326339
"3","Education",">12",0.66,0.0161974852010338,0.628252929005974,0.691747070994026
"4","Education","Masters, doctoral, professional",0.65,0.0548058367084819,0.542580560051376,0.757419439948624
"5","CENTER","Bronx",0.52,0.0205822504794495,0.479658789060279,0.560341210939721
"6","CENTER","Chicago",0.36,0.0160842006988395,0.328474966630274,0.391525033369725
"7","CENTER","Miami",0.67,0.0192498198509705,0.632270353092098,0.707729646907902
"8","CENTER","San Diego",0.58,0.0225019637776987,0.535896150995711,0.624103849004289
"9","Income_level","Less than $10,000",0.46,0.0303527098112023,0.400508688770044,0.519491311229957
"10","Income_level","$10,001-$20,000",0.51,0.0220367046188428,0.466808058947068,0.553191941052932
"11","Income_level","$20,001-$40,000",0.53,0.01797876137668,0.494761627701707,0.565238372298293
"12","Income_level","$40,001-$75,000",0.62,0.0243175721329634,0.572337558619392,0.667662441380608
"13","Income_level","More than $75,000",0.73,0.0362767674946471,0.658897535710492,0.801102464289508
